# ----------------------------------------
# Vista de Usuarios
# Vuelos por agencia sin DELFOS
# 20201028-20201028
# ----------------------------------------

Página,Número de visitas a páginas,Número de páginas vistas únicas,Promedio de tiempo en la página,Entradas,Porcentaje de rebote,Porcentaje de salidas,Valor de página
"/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/11-01-2021/15-01-2021?h1=2-14,16",1,1,00:02:40,1,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/11-01-2021/15-01-2021?h1=2-17,17",1,1,00:15:03,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/11-01-2021/15-01-2021?h1=2-4,7",1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/11-01-2021/15-01-2021?h1=2-5,8",1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/11-01-2021/15-01-2021?h1=2-7,1,1,00:06:30,1,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/12-01-2021/15-01-2021?h1=2,1,1,00:01:19,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/12-01-2021/15-01-2021?h1=3,1,1,00:27:17,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/24-01-2021/28-01-2021?h1=2-0-1&h2=2&h3=2-15,1,1,00:19:51,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9622/0/ushuaia-argentina/26-02-2021/01-03-2021?h1=2,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/hoteles/resultados/9784/0/villa-gesell-argentina/17-01-2021/24-01-2021?h1=2,1,1,00:09:19,0,"0,00 %","0,00 %","0,00 US$"
"/es/delfos/hoteles/resultados/9784/0/villa-gesell-argentina/17-01-2021/24-01-2021?h1=2-9,4",1,1,00:00:51,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/1705/patagonia-imperdible?tipo=productos,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/productos/detalle/32807/bariloche-clasico?tipo=productos,1,1,00:29:23,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/32967/salta-san-antonio-de-los-cobres-y-purmamarca?tipo=productos,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/productos/detalle/32970/bariloche-san-martin-de-los-andes,1,1,00:13:17,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/32970/bariloche-san-martin-de-los-andes?tipo=productos,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/productos/detalle/32974/calafate-ushuaia?tipo=productos,1,1,00:00:12,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/43538/bariloche-ruta-de-la-cerveza,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/productos/detalle/43553/salta-experiencia-culinaria?tipo=productos,1,1,00:00:30,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/43559/patagonia-secreta-desde-comodoro-rivadavia,1,1,00:04:14,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/43562/bariloche-ruta-de-la-cerveza?tipo=productos,1,1,00:22:50,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/43574/mendoza-rafting-cabalgata?tipo=productos,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/productos/detalle/43585/valle-de-la-luna-talampaya-en-auto?tipo=productos,1,1,00:00:24,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/productos/detalle/796/calafate-clasico,1,1,00:01:41,0,"0,00 %","0,00 %","0,00 US$"
/es/delfos/vuelos/resultados/BHI/RIO/13-03-2021/21-03-2021?adultos=1&includeBaggage=true,1,1,00:00:00,0,"0,00 %","100,00 %","0,00 US$"
/es/delfos/vuelos/resultados/BUE/LAX/15-05-2021/15-07-2021?adultos=1,1,1,00:14:36,0,"0,00 %","0,00 %","0,00 US$"
