Cliente,SECTOR NEGOCIO,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,Total general,,,
ONE TRIP CAO FRANQUICI,AÉREO,"4,797.07",,,"4,226.37",,"2,119.81",,,,,229.54,871.23,"12,244.02",Mediano,Frecuente,
ONE TRIP CAO FRANQUICI,TERRESTRE,,248.36,24.55,"1,129.40",,"5,830.30",,,,,,,"7,232.61",Mediano,Poco Frecuente,
SOL TRAVEL TURISMO (E),AÉREO,,"1,569.20",498.81,,,,,,,,,"5,162.22","7,230.23",Mediano,Poco Frecuente,
SOL TRAVEL TURISMO (E),TERRESTRE,,"4,004.67",258.17,,,,,,,,,"7,937.33","12,200.17",Mediano,Poco Frecuente,
SAYONARA TOUR,AÉREO,242.94,"2,642.53",,,,,,,,566.14,"7,414.06",,"10,865.67",Mediano,Poco Frecuente,
SAYONARA TOUR,TERRESTRE,,180.34,"3,130.92",,"1,862.37","1,774.53",,,,,,,"6,948.16",Mediano,Poco Frecuente,
QUEEN TRAVEL- LAS PERD,AÉREO,"6,370.23","1,418.30",,,,,177.19,,,,,,"7,965.73",Mediano,Poco Frecuente,
QUEEN TRAVEL- LAS PERD,TERRESTRE,,"4,600.98",,"2,760.96",,,"2,378.43",,,,,,"9,740.37",Mediano,Poco Frecuente,
GOLLUA,AÉREO,236.38,628.26,,,,,,,,,,,864.63,Pequeño,Poco Frecuente,
GOLLUA,TERRESTRE,"1,979.31",751.00,"3,402.00",,"4,409.68","2,751.24",844.00,"2,162.00",320.59,,163.00,,"16,782.82",Mediano,Frecuente,Contactar
MARENCO VIAJES Y TURIS,AÉREO,984.15,,,,"1,687.63",,,"1,295.61",,"1,724.78",,,"5,692.18",Mediano,Poco Frecuente,
MARENCO VIAJES Y TURIS,TERRESTRE,,,903.11,,,"7,440.57","2,891.04",,,,,,"11,234.72",Mediano,Poco Frecuente,
EXPENDER TRAVEL,AÉREO,,,,,,,"1,500.04",,,266.49,"5,084.83","1,711.36","8,562.73",Mediano,Poco Frecuente,
EXPENDER TRAVEL,TERRESTRE,,,,"3,788.00",,,,"1,316.46",,,978.19,"2,198.00","8,280.65",Mediano,Poco Frecuente,
